"year_month","number_of_new_customers_props","new_customers_total_props"
"200301","100","100"
"200302","100","100"
"200303","100","100"
"200304","100","100"
"200305","100","100"
"200306","100","100"
"200307","75","68.3"
"200308","66","54.2"
"200309","80","95.9"
"200310","69","69.3"
"200311","57","53.9"
"200312","60","54.9"
"200401","33","41.1"
"200402","33","26.5"
"200403","54","55"
"200404","40","40.3"
"200405","12","17.3"
"200406","33","43.9"
"200407","10","6.5"
"200408","18","26.2"
"200409","40","56.4"
